Attributes, k-value,,,,,,,,,,,,
x1,2,,,,,,,,,,,,
x2,2,,,,,,,,,,,,
x3,2,,,,,,,,,,,,
x4,2,,,,,,,,,,,,
x5,2,,,,,,,,,,,,
,,,,,,,,,,,,,
Pilot Questions:,,,,,,,,,,,,,
Shortest Hansel Chain First,,,,,,,,,,,,,
True Attributes:,x5,,,,,,,,,,,,
Majority Flag not used,,,,,,,,,,,,,
Static,,,,,,,,,,,,,
,,,,,,,,,,,,,
Original Results,,,,,,,,,,,,,
Monotone Boolean Function Simplified: x1x3x5 v x2x3x5 v x4x5,,,,,,,,,,,,,
Monotone Boolean Function Non-simplified:x1x3x5 v x2x3x5 v x2x4x5 v x1x4x5 v x4x5,,,,,,,,,,,,,
2.1,0;0;0;0;1;0,0,0,,,,12.1;8.1;5.1;2.2;1.3;,1.1;,,,,,
2.2,0;0;0;1;1;0,0,0,,,3.1;,12.2;8.2;2.3;1.4;,2.1;3.1;,,,,,
2.3,0;0;1;1;1;0,0,0,,,5.1;6.1;,12.3;2.4;1.5;,2.2;5.1;6.1;,,,,,
2.4,0;1;1;1;1;0,1,0,,2.5;,,2.5;1.6;,2.3;8.2;5.2;6.2;,,,,,
2.5,1;1;1;1;1;0,1,0,2.4,,,1.7;,2.4;12.3;8.3;5.3;6.3;,,,,,
3.1,0;0;0;1;0;0,0,0,2.2,,,13.1;9.1;6.1;2.2;3.2;,1.1;,,,,,
3.2,0;0;0;1;0;1,0,0,,,,13.2;9.2;3.3;1.4;,1.2;3.1;,,,,,
3.3,0;0;1;1;0;1,0,0,,,,13.3;3.4;1.5;,3.2;4.2;6.1;,,,,,
3.4,0;1;1;1;0;1,0,0,,,,3.5;1.6;,3.3;9.2;10.2;6.2;,,,,,
3.5,1;1;1;1;0;1,1,0,,,,1.7;,3.4;13.3;9.3;10.3;6.3;,,,,,
4.1,0;0;1;0;0;0,0,0,,,,14.1;10.1;6.1;5.1;4.2;,1.1;,,,,,
4.2,0;0;1;0;0;1,0,0,,,,14.2;10.2;3.3;4.3;,1.2;4.1;,,,,,
4.3,0;0;1;0;1;1,0,0,,,,14.3;4.4;1.5;,1.3;4.2;5.1;,,,,,
4.4,0;1;1;0;1;1,1,0,,,,4.5;1.6;,4.3;7.3;10.2;5.2;,,,,,
4.5,1;1;1;0;1;1,1,0,,,,1.7;,4.4;14.3;17.3;10.3;5.3;,,,,,
5.1,0;0;1;0;1;0,0,0,2.3,,,15.1;5.2;2.3;4.3;,2.1;4.1;,,,,,
5.2,0;1;1;0;1;0,0,0,,,8.1;10.1;,5.3;2.4;4.4;,5.1;8.1;10.1;,,,,,
5.3,1;1;1;0;1;0,1,0,,,,2.5;4.5;,5.2;15.1;18.1;20.1;,,,,,
6.1,0;0;1;1;0;0,0,0,2.3,,,16.1;6.2;2.3;3.3;,3.1;4.1;,,,,,
6.2,0;1;1;1;0;0,0,0,,,9.1;,6.3;2.4;3.4;,6.1;9.1;10.1;,,,,,
6.3,1;1;1;1;0;0,0,0,,,16.1;19.1;20.1;,2.5;3.5;,6.2;16.1;19.1;20.1;,,,,,
7.1,0;1;0;0;0;0,0,0,,,,17.1;10.1;9.1;8.1;7.2;,1.1;,,,,,
7.2,0;1;0;0;0;1,0,0,,,,17.2;10.2;9.2;7.3;,1.2;7.1;,,,,,
7.3,0;1;0;0;1;1,0,0,,,,17.3;4.4;7.4;,1.3;7.2;8.1;,,,,,
7.4,0;1;0;1;1;1,1,0,,,,7.5;1.6;,1.4;7.3;9.2;8.2;,,,,,
7.5,1;1;0;1;1;1,1,0,,,,1.7;,7.4;11.4;17.3;9.3;8.3;,,,,,
8.1,0;1;0;0;1;0,0,0,5.2,,,18.1;5.2;8.2;7.3;,2.1;7.1;,,,,,
8.2,0;1;0;1;1;0,1,0,,8.3;,,8.3;2.4;7.4;,2.2;8.1;9.1;,,,,,
8.3,1;1;0;1;1;0,1,0,8.2,,,2.5;7.5;,8.2;12.2;18.1;19.1;,,,,,
9.1,0;1;0;1;0;0,0,0,6.2,,,19.1;6.2;8.2;9.2;,3.1;7.1;,,,,,
9.2,0;1;0;1;0;1,0,0,,,,9.3;3.4;7.4;,3.2;7.2;9.1;,,,,,
9.3,1;1;0;1;0;1,1,0,,,,3.5;7.5;,9.2;13.2;17.2;19.1;,,,,,
10.1,0;1;1;0;0;0,0,0,5.2,,,20.1;6.2;5.2;10.2;,4.1;7.1;,,,,,
10.2,0;1;1;0;0;1,0,0,,,,10.3;3.4;4.4;,4.2;7.2;10.1;,,,,,
10.3,1;1;1;0;0;1,1,0,,,,3.5;4.5;,10.2;14.2;17.2;20.1;,,,,,
11.1,1;0;0;0;0;0,0,0,,,,17.1;14.1;13.1;12.1;11.2;,1.1;,,,,,
11.2,1;0;0;0;0;1,0,0,,,,17.2;14.2;13.2;11.3;,1.2;11.1;,,,,,
11.3,1;0;0;0;1;1,0,0,,,,17.3;14.3;11.4;,1.3;11.2;12.1;,,,,,
11.4,1;0;0;1;1;1,1,0,,,,7.5;11.5;,1.4;11.3;13.2;12.2;,,,,,
11.5,1;0;1;1;1;1,1,0,,,,1.7;,1.5;11.4;14.3;13.3;12.3;,,,,,
12.1,1;0;0;0;1;0,0,0,,,,18.1;15.1;12.2;11.3;,2.1;11.1;,,,,,
12.2,1;0;0;1;1;0,0,0,,,13.1;,8.3;12.3;11.4;,2.2;12.1;13.1;,,,,,
12.3,1;0;1;1;1;0,0,0,,,15.1;,2.5;11.5;,2.3;12.2;15.1;16.1;,,,,,
13.1,1;0;0;1;0;0,0,0,12.2,,,19.1;16.1;12.2;13.2;,3.1;11.1;,,,,,
13.2,1;0;0;1;0;1,0,0,,,,9.3;13.3;11.4;,3.2;11.2;13.1;,,,,,
13.3,1;0;1;1;0;1,0,0,,,,3.5;11.5;,3.3;13.2;14.2;16.1;,,,,,
14.1,1;0;1;0;0;0,0,0,,,,20.1;16.1;15.1;14.2;,4.1;11.1;,,,,,
14.2,1;0;1;0;0;1,0,0,,,,10.3;13.3;14.3;,4.2;11.2;14.1;,,,,,
14.3,1;0;1;0;1;1,1,0,,,,4.5;11.5;,4.3;11.3;14.2;15.1;,,,,,
15.1,1;0;1;0;1;0,0,0,12.3,,,5.3;12.3;14.3;,5.1;12.1;14.1;,,,,,
16.1,1;0;1;1;0;0,0,0,6.3,,,6.3;12.3;13.3;,6.1;13.1;14.1;,,,,,
17.1,1;1;0;0;0;0,0,0,,,,20.1;19.1;18.1;17.2;,7.1;11.1;,,,,,
17.2,1;1;0;0;0;1,0,0,,,,10.3;9.3;17.3;,7.2;11.2;17.1;,,,,,
17.3,1;1;0;0;1;1,0,0,,,,4.5;7.5;,7.3;11.3;17.2;18.1;,,,,,
18.1,1;1;0;0;1;0,0,0,,,,5.3;8.3;17.3;,8.1;12.1;17.1;,,,,,
19.1,1;1;0;1;0;0,0,0,6.3,,,6.3;8.3;9.3;,9.1;13.1;17.1;,,,,,
20.1,1;1;1;0;0;0,0,0,6.3,,,6.3;5.3;10.3;,10.1;14.1;17.1;,,,,,
